Sample AUC
BOMV_B1 325.64175081851585
BOMV_B10 190.1540514162284
BOMV_B11 151.37710971162446
BOMV_B12 119.02287982603916
BOMV_B14 217.29139529287886
BOMV_B15 247.48875488502205
BOMV_B16 229.1929646242707
BOMV_B18 287.9911558498562
BOMV_B2 164.52331788908623
BOMV_B20 125.46264043630761
BOMV_B21 181.64808292795252
BOMV_B22 177.9298683221882
BOMV_B23 207.15876065031057
BOMV_B24 184.56279793047327
BOMV_B26 231.7955154237173
BOMV_B27 171.00512202608346
BOMV_B28 184.47094353089497
BOMV_B29 200.29352438978486
BOMV_B3 116.47871138277245
BOMV_B30 160.64082502676428
BOMV_B31 194.94488337966862
BOMV_B32 83.6042016976038
BOMV_B33 97.54547152392581
BOMV_B34 348.0120283899978
BOMV_B35 213.88016126073498
BOMV_B36 290.60559422848064
BOMV_B37 195.4965267052804
BOMV_B38 68.88018449604972
BOMV_B39 224.39587250391594
BOMV_B4 61.75418313813718
BOMV_B40 277.18546724919076
BOMV_B41 161.0065324372566
BOMV_B42 119.12093783372217
BOMV_B43 246.308882426653
BOMV_B44 96.26310173113131
BOMV_B45 197.71481813922597
BOMV_B46 131.0668088563327
BOMV_B47 259.3000206689511
BOMV_B48 208.80185825069864
BOMV_B49 231.41298168246266
BOMV_B50 244.71196436510706
BOMV_B6 35.33210273577063
BOMV_B7 20.441816556674613
BOMV_B8 160.52258553583115
BOMV_B9 146.72404904118363
BOMV_DC52 222.73540356785193
