sample_name, -2.25000,-2.22362,-2.19724,-2.17085,-2.14447,-2.11809,-2.09171,-2.06533,-2.03894,-2.01256,-1.98618,-1.95980,-1.93342,-1.90704,-1.88065,-1.85427,-1.82789,-1.80151,-1.77513,-1.74874,-1.72236,-1.69598,-1.66960,-1.64322,-1.61683,-1.59045,-1.56407,-1.53769,-1.51131,-1.48492,-1.45854,-1.43216,-1.40578,-1.37940,-1.35302,-1.32663,-1.30025,-1.27387,-1.24749,-1.22111,-1.19472,-1.16834,-1.14196,-1.11558,-1.08920,-1.06281,-1.03643,-1.01005,-0.98367,-0.95729,-0.93090,-0.90452,-0.87814,-0.85176,-0.82538,-0.79899,-0.77261,-0.74623,-0.71985,-0.69347,-0.66709,-0.64070,-0.61432,-0.58794,-0.56156,-0.53518,-0.50879,-0.48241,-0.45603,-0.42965,-0.40327,-0.37688,-0.35050,-0.32412,-0.29774,-0.27136,-0.24497,-0.21859,-0.19221,-0.16583,-0.13945,-0.11307,-0.08668,-0.06030,-0.03392,-0.00754,0.01884,0.04523,0.07161,0.09799,0.12437,0.15075,0.17714,0.20352,0.22990,0.25628,0.28266,0.30905,0.33543,0.36181,0.38819,0.41457,0.44095,0.46734,0.49372,0.52010,0.54648,0.57286,0.59925,0.62563,0.65201,0.67839,0.70477,0.73116,0.75754,0.78392,0.81030,0.83668,0.86307,0.88945,0.91583,0.94221,0.96859,0.99497,1.02136,1.04774,1.07412,1.10050,1.12688,1.15327,1.17965,1.20603,1.23241,1.25879,1.28518,1.31156,1.33794,1.36432,1.39070,1.41709,1.44347,1.46985,1.49623,1.52261,1.54899,1.57538,1.60176,1.62814,1.65452,1.68090,1.70729,1.73367,1.76005,1.78643,1.81281,1.83920,1.86558,1.89196,1.91834,1.94472,1.97111,1.99749,2.02387,2.05025,2.07663,2.10302,2.12940,2.15578,2.18216,2.20854,2.23492,2.26131,2.28769,2.31407,2.34045,2.36683,2.39322,2.41960,2.44598,2.47236,2.49874,2.52513,2.55151,2.57789,2.60427,2.63065,2.65704,2.68342,2.70980,2.73618,2.76256,2.78894,2.81533,2.84171,2.86809,2.89447,2.92085,2.94724,2.97362,3.00000
BOMV_B1, 3.09782,3.25158,3.41270,3.58148,3.75826,3.94339,4.13723,4.34013,4.55249,4.77468,5.00711,5.25019,5.50435,5.77001,6.04762,6.33763,6.64050,6.95671,7.28671,7.63101,7.99008,8.36441,8.75450,9.16085,9.58394,10.02427,10.48233,10.95860,11.45356,11.96765,12.50134,13.05506,13.62922,14.22421,14.84039,15.47810,16.13766,16.81932,17.52332,18.24985,18.99905,19.77101,20.56577,21.38331,22.22355,23.08636,23.97152,24.87877,25.80775,26.75806,27.72919,28.72057,29.73158,30.76148,31.80948,32.87471,33.95623,35.05303,36.16402,37.28807,38.42396,39.57044,40.72620,41.88988,43.06009,44.23539,45.41435,46.59548,47.77731,48.95836,50.13714,51.31218,52.48204,53.64529,54.80054,55.94643,57.08166,58.20497,59.31515,60.41108,61.49167,62.55591,63.60286,64.63167,65.64153,66.63174,67.60165,68.55071,69.47842,70.38438,71.26823,72.12971,72.96861,73.78481,74.57822,75.34883,76.09669,76.82188,77.52456,78.20491,78.86317,79.49961,80.11453,80.70828,81.28122,81.83374,82.36626,82.87922,83.37305,83.84823,84.30523,84.74454,85.16663,85.57200,85.96115,86.33456,86.69275,87.03618,87.36536,87.68076,87.98286,88.27213,88.54902,88.81399,89.06748,89.30993,89.54174,89.76334,89.97513,90.17749,90.37080,90.55542,90.73173,90.90005,91.06072,91.21406,91.36039,91.49999,91.63317,91.76019,91.88133,91.99685,92.10699,92.21198,92.31207,92.40746,92.49837,92.58500,92.66755,92.74620,92.82112,92.89250,92.96049,93.02524,93.08691,93.14565,93.20158,93.25483,93.30554,93.35383,93.39979,93.44355,93.48521,93.52487,93.56262,93.59855,93.63275,93.66531,93.69629,93.72577,93.75383,93.78054,93.80595,93.83013,93.85314,93.87504,93.89588,93.91570,93.93457,93.95252,93.96959,93.98584,94.00130,94.01601,94.03000,94.04332,94.05598,94.06803,94.07949,94.09040,94.10077,94.11064,94.12003,94.12896,94.13746,94.14554,94.15323,94.16054,94.16750,94.17411
BOMV_B10, 0.07775,0.08222,0.08694,0.09193,0.09720,0.10278,0.10868,0.11491,0.12151,0.12848,0.13585,0.14364,0.15188,0.16060,0.16981,0.17955,0.18984,0.20073,0.21223,0.22440,0.23726,0.25086,0.26523,0.28042,0.29649,0.31347,0.33142,0.35039,0.37045,0.39165,0.41406,0.43774,0.46277,0.48923,0.51719,0.54675,0.57798,0.61098,0.64586,0.68271,0.72166,0.76280,0.80628,0.85221,0.90073,0.95199,1.00614,1.06334,1.12375,1.18756,1.25494,1.32609,1.40123,1.48055,1.56430,1.65271,1.74602,1.84451,1.94844,2.05811,2.17382,2.29588,2.42463,2.56042,2.70360,2.85456,3.01369,3.18141,3.35814,3.54434,3.74046,3.94701,4.16447,4.39338,4.63427,4.88771,5.15427,5.43455,5.72917,6.03876,6.36397,6.70546,7.06392,7.44005,7.83454,8.24812,8.68151,9.13545,9.61067,10.10791,10.62792,11.17140,11.73910,12.33172,12.94995,13.59446,14.26588,14.96484,15.69190,16.44758,17.23236,18.04666,18.89083,19.76516,20.66985,21.60504,22.57075,23.56692,24.59340,25.64991,26.73606,27.85137,28.99520,30.16682,31.36536,32.58982,33.83908,35.11190,36.40691,37.72263,39.05745,40.40966,41.77747,43.15898,44.55219,45.95508,47.36553,48.78138,50.20045,51.62054,53.03941,54.45488,55.86476,57.26688,58.65916,60.03955,61.40607,62.75684,64.09006,65.40403,66.69717,67.96799,69.21514,70.43738,71.63361,72.80284,73.94422,75.05700,76.14059,77.19449,78.21834,79.21186,80.17491,81.10744,82.00948,82.88117,83.72272,84.53444,85.31666,86.06983,86.79441,87.49094,88.16000,88.80219,89.41816,90.00858,90.57414,91.11555,91.63354,92.12883,92.60217,93.05429,93.48592,93.89781,94.29067,94.66523,95.02218,95.36223,95.68605,95.99431,96.28765,96.56672,96.83211,97.08443,97.32426,97.55214,97.76864,97.97425,98.16950,98.35485,98.53078,98.69773,98.85613,99.00640,99.14892,99.28407,99.41223,99.53373,99.64890,99.75805
BOMV_B11, 0.01521,0.01618,0.01722,0.01833,0.01950,0.02075,0.02209,0.02350,0.02501,0.02662,0.02832,0.03014,0.03207,0.03413,0.03632,0.03865,0.04113,0.04377,0.04658,0.04956,0.05274,0.05613,0.05972,0.06355,0.06763,0.07197,0.07658,0.08149,0.08672,0.09228,0.09819,0.10449,0.11119,0.11831,0.12590,0.13396,0.14255,0.15168,0.16140,0.17174,0.18274,0.19444,0.20690,0.22014,0.23424,0.24923,0.26518,0.28215,0.30020,0.31941,0.33983,0.36156,0.38467,0.40926,0.43540,0.46321,0.49279,0.52425,0.55770,0.59327,0.63110,0.67132,0.71409,0.75956,0.80791,0.85930,0.91393,0.97200,1.03372,1.09932,1.16903,1.24310,1.32180,1.40542,1.49424,1.58858,1.68877,1.79517,1.90813,2.02806,2.15535,2.29045,2.43380,2.58587,2.74718,2.91825,3.09962,3.29187,3.49561,3.71147,3.94010,4.18219,4.43846,4.70965,4.99653,5.29989,5.62055,5.95938,6.31724,6.69503,7.09368,7.51411,7.95729,8.42418,8.91576,9.43302,9.97693,10.54849,11.14866,11.77839,12.43861,13.13023,13.85410,14.61103,15.40178,16.22702,17.08736,17.98333,18.91533,19.88368,20.88856,21.93003,23.00798,24.12219,25.27225,26.45758,27.67744,28.93089,30.21683,31.53394,32.88074,34.25555,35.65652,37.08161,38.52863,39.99523,41.47892,42.97709,44.48700,46.00586,47.53077,49.05882,50.58705,52.11251,53.63227,55.14344,56.64321,58.12883,59.59768,61.04725,62.47518,63.87924,65.25739,66.60775,67.92861,69.21847,70.47601,71.70007,72.88972,74.04417,75.16283,76.24529,77.29127,78.30067,79.27353,80.21001,81.11041,81.97513,82.80468,83.59965,84.36072,85.08864,85.78420,86.44825,87.08170,87.68548,88.26052,88.80780,89.32830,89.82300,90.29289,90.73894,91.16213,91.56342,91.94374,92.30401,92.64515,92.96801,93.27347,93.56233,93.83542,94.09349,94.33730,94.56756,94.78496,94.99016,95.18380,95.36648,95.53879,95.70128
BOMV_B12, 0.02089,0.02205,0.02327,0.02455,0.02591,0.02734,0.02886,0.03045,0.03214,0.03391,0.03579,0.03777,0.03986,0.04206,0.04439,0.04684,0.04943,0.05216,0.05505,0.05809,0.06130,0.06469,0.06827,0.07204,0.07603,0.08023,0.08466,0.08934,0.09428,0.09949,0.10499,0.11079,0.11691,0.12337,0.13019,0.13738,0.14497,0.15298,0.16143,0.17035,0.17975,0.18968,0.20015,0.21120,0.22286,0.23516,0.24814,0.26184,0.27628,0.29153,0.30761,0.32457,0.34247,0.36135,0.38126,0.40228,0.42444,0.44782,0.47248,0.49850,0.52594,0.55488,0.58541,0.61760,0.65156,0.68737,0.72513,0.76496,0.80695,0.85123,0.89793,0.94715,0.99906,1.05378,1.11146,1.17226,1.23636,1.30391,1.37511,1.45014,1.52920,1.61251,1.70029,1.79276,1.89016,1.99276,2.10082,2.21461,2.33442,2.46057,2.59336,2.73313,2.88022,3.03500,3.19783,3.36912,3.54926,3.73869,3.93783,4.14716,4.36714,4.59826,4.84103,5.09597,5.36363,5.64457,5.93935,6.24856,6.57282,6.91275,7.26897,7.64213,8.03289,8.44192,8.86989,9.31750,9.78542,10.27434,10.78496,11.31795,11.87402,12.45381,13.05799,13.68720,14.34206,15.02315,15.73106,16.46629,17.22933,18.02063,18.84057,19.68948,20.56764,21.47522,22.41237,23.37913,24.37544,25.40119,26.45613,27.53994,28.65219,29.79233,30.95972,32.15359,33.37306,34.61714,35.88473,37.17461,38.48546,39.81586,41.16426,42.52905,43.90851,45.30085,46.70422,48.11668,49.53626,50.96094,52.38867,53.81740,55.24505,56.66955,58.08888,59.50099,60.90394,62.29578,63.67467,65.03880,66.38649,67.71609,69.02610,70.31508,71.58171,72.82478,74.04320,75.23598,76.40225,77.54124,78.65231,79.73492,80.78865,81.81317,82.80825,83.77377,84.70968,85.61604,86.49297,87.34066,88.15940,88.94951,89.71139,90.44547,91.15224,91.83223,92.48601,93.11416,93.71731,94.29610,94.85118,95.38323
BOMV_B14, 0.53823,0.56293,0.58876,0.61577,0.64401,0.67353,0.70440,0.73667,0.77041,0.80569,0.84256,0.88110,0.92140,0.96351,1.00753,1.05354,1.10163,1.15189,1.20441,1.25929,1.31664,1.37657,1.43918,1.50460,1.57294,1.64433,1.71891,1.79680,1.87815,1.96311,2.05184,2.14448,2.24121,2.34219,2.44761,2.55765,2.67249,2.79234,2.91740,3.04788,3.18400,3.32599,3.47408,3.62850,3.78952,3.95738,4.13234,4.31469,4.50470,4.70265,4.90885,5.12358,5.34718,5.57994,5.82219,6.07427,6.33651,6.60926,6.89286,7.18768,7.49406,7.81238,8.14299,8.48628,8.84262,9.21237,9.59592,9.99363,10.40589,10.83305,11.27548,11.73355,12.20759,12.69797,13.20500,13.72901,14.27031,14.82918,15.40591,16.00074,16.61390,17.24561,17.89604,18.56534,19.25365,19.96105,20.68759,21.43329,22.19814,22.98206,23.78496,24.60667,25.44702,26.30575,27.18257,28.07714,28.98906,29.91789,30.86313,31.82423,32.80059,33.79156,34.79644,35.81449,36.84489,37.88682,38.93939,40.00167,41.07271,42.15151,43.23705,44.32826,45.42409,46.52343,47.62519,48.72823,49.83145,50.93371,52.03390,53.13091,54.22365,55.31102,56.39197,57.46547,58.53052,59.58614,60.63139,61.66539,62.68727,63.69623,64.69150,65.67237,66.63817,67.58828,68.52215,69.43925,70.33913,71.22138,72.08563,72.93159,73.75898,74.56761,75.35731,76.12795,76.87947,77.61183,78.32504,79.01913,79.69420,80.35034,80.98772,81.60649,82.20686,82.78906,83.35332,83.89993,84.42915,84.94131,85.43670,85.91567,86.37855,86.82569,87.25745,87.67419,88.07628,88.46409,88.83799,89.19836,89.54557,89.88000,90.20201,90.51198,90.81026,91.09723,91.37324,91.63863,91.89376,92.13896,92.37457,92.60092,92.81831,93.02706,93.22749,93.41988,93.60452,93.78170,93.95169,94.11475,94.27115,94.42114,94.56495,94.70283,94.83500,94.96168,95.08309,95.19943,95.31091,95.41771,95.52002,95.61802
BOMV_B15, 0.44669,0.46946,0.49339,0.51853,0.54495,0.57271,0.60187,0.63251,0.66470,0.69851,0.73403,0.77135,0.81055,0.85172,0.89497,0.94039,0.98809,1.03820,1.09081,1.14606,1.20408,1.26500,1.32896,1.39611,1.46661,1.54061,1.61828,1.69981,1.78538,1.87517,1.96939,2.06825,2.17197,2.28077,2.39490,2.51459,2.64011,2.77173,2.90972,3.05437,3.20599,3.36488,3.53137,3.70580,3.88850,4.07985,4.28022,4.48998,4.70954,4.93930,5.17969,5.43114,5.69409,5.96900,6.25634,6.55659,6.87024,7.19779,7.53974,7.89661,8.26893,8.65722,9.06203,9.48388,9.92333,10.38090,10.85714,11.35258,11.86775,12.40318,12.95937,13.53683,14.13602,14.75742,15.40146,16.06856,16.75909,17.47341,18.21183,18.97463,19.76203,20.57421,21.41130,22.27337,23.16044,24.07245,25.00928,25.97074,26.95658,27.96645,28.99994,30.05656,31.13572,32.23677,33.35897,34.50149,35.66342,36.84379,38.04153,39.25549,40.48446,41.72718,42.98228,44.24837,45.52401,46.80768,48.09785,49.39295,50.69138,51.99153,53.29179,54.59054,55.88615,57.17703,58.46162,59.73836,61.00575,62.26233,63.50669,64.73749,65.95343,67.15330,68.33593,69.50027,70.64532,71.77015,72.87394,73.95592,75.01544,76.05191,77.06481,78.05373,79.01831,79.95829,80.87346,81.76371,82.62896,83.46923,84.28457,85.07512,85.84103,86.58255,87.29992,87.99346,88.66352,89.31047,89.93473,90.53672,91.11692,91.67579,92.21383,92.73155,93.22948,93.70813,94.16805,94.60977,95.03383,95.44078,95.83114,96.20547,96.56428,96.90810,97.23745,97.55284,97.85477,98.14373,98.42019,98.68464,98.93753,99.17930,99.41039,99.63122,99.84221,100.04375,100.23623,100.42002,100.59548,100.76296,100.92280,101.07532,101.22084,101.35967,101.49208,101.61836,101.73878,101.85360,101.96307,102.06742,102.16689,102.26169,102.35203,102.43812,102.52016,102.59831,102.67277,102.74371,102.81127,102.87563,102.93693,102.99531
BOMV_B16, 0.52565,0.54993,0.57532,0.60188,0.62965,0.65870,0.68908,0.72085,0.75407,0.78882,0.82515,0.86314,0.90287,0.94440,0.98784,1.03324,1.08072,1.13035,1.18223,1.23647,1.29317,1.35243,1.41437,1.47910,1.54676,1.61746,1.69134,1.76853,1.84919,1.93346,2.02149,2.11344,2.20949,2.30981,2.41457,2.52397,2.63820,2.75746,2.88196,3.01191,3.14754,3.28909,3.43678,3.59087,3.75161,3.91927,4.09412,4.27645,4.46653,4.66466,4.87116,5.08634,5.31052,5.54403,5.78722,6.04042,6.30399,6.57830,6.86372,7.16061,7.46938,7.79039,8.12405,8.47076,8.83091,9.20491,9.59317,9.99609,10.41409,10.84758,11.29694,11.76260,12.24494,12.74435,13.26122,13.79591,14.34878,14.92019,15.51045,16.11988,16.74876,17.39738,18.06597,18.75474,19.46389,20.19357,20.94390,21.71496,22.50680,23.31942,24.15279,25.00681,25.88134,26.77621,27.69119,28.62597,29.58022,30.55354,31.54548,32.55552,33.58310,34.62759,35.68831,36.76453,37.85545,38.96024,40.07800,41.20780,42.34864,43.49949,44.65930,45.82695,47.00132,48.18124,49.36554,50.55300,51.74242,52.93258,54.12224,55.31019,56.49521,57.67610,58.85167,60.02076,61.18222,62.33494,63.47786,64.60994,65.73017,66.83762,67.93138,69.01060,70.07447,71.12225,72.15325,73.16684,74.16242,75.13950,76.09758,77.03628,77.95522,78.85412,79.73273,80.59085,81.42834,82.24510,83.04109,83.81629,84.57075,85.30454,86.01777,86.71059,87.38319,88.03577,88.66857,89.28185,89.87591,90.45105,91.00759,91.54588,92.06627,92.56913,93.05484,93.52379,93.97637,94.41299,94.83405,95.23995,95.63110,96.00791,96.37079,96.72014,97.05637,97.37987,97.69105,97.99028,98.27795,98.55445,98.82013,99.07537,99.32053,99.55594,99.78195,99.99890,100.20710,100.40688,100.59855,100.78239,100.95871,101.12778,101.28988,101.44528,101.59423,101.73698,101.87377,102.00484,102.13040,102.25069,102.36591,102.47625
BOMV_B18, 2.37598,2.47519,2.57843,2.68585,2.79763,2.91391,3.03487,3.16069,3.29155,3.42763,3.56913,3.71624,3.86917,4.02813,4.19332,4.36499,4.54334,4.72861,4.92105,5.12090,5.32840,5.54381,5.76739,5.99941,6.24014,6.48986,6.74884,7.01737,7.29574,7.58424,7.88317,8.19283,8.51351,8.84553,9.18917,9.54475,9.91258,10.29294,10.68615,11.09251,11.51229,11.94581,12.39334,12.85516,13.33153,13.82273,14.32900,14.85057,15.38768,15.94054,16.50933,17.09424,17.69543,18.31303,18.94716,19.59792,20.26537,20.94955,21.65047,22.36812,23.10246,23.85339,24.62081,25.40457,26.20449,27.02035,27.85189,28.69880,29.56077,30.43742,31.32832,32.23305,33.15109,34.08193,35.02500,35.97969,36.94538,37.92138,38.90699,39.90148,40.90407,41.91399,42.93040,43.95248,44.97936,46.01018,47.04403,48.08002,49.11726,50.15481,51.19178,52.22726,53.26033,54.29010,55.31570,56.33624,57.35088,58.35878,59.35913,60.35115,61.33409,62.30720,63.26980,64.22123,65.16086,66.08809,67.00237,67.90318,68.79004,69.66252,70.52022,71.36276,72.18983,73.00115,73.79646,74.57556,75.33827,76.08445,76.81402,77.52688,78.22300,78.90239,79.56505,80.21103,80.84042,81.45330,82.04981,82.63009,83.19430,83.74262,84.27526,84.79242,85.29435,85.78127,86.25345,86.71115,87.15463,87.58419,88.00009,88.40265,88.79215,89.16889,89.53318,89.88531,90.22559,90.55432,90.87182,91.17837,91.47428,91.75985,92.03538,92.30114,92.55744,92.80455,93.04276,93.27234,93.49355,93.70667,93.91195,94.10964,94.30001,94.48327,94.65969,94.82947,94.99286,95.15007,95.30131,95.44679,95.58672,95.72128,95.85068,95.97509,96.09469,96.20967,96.32018,96.42639,96.52846,96.62654,96.72078,96.81132,96.89831,96.98186,97.06213,97.13922,97.21326,97.28437,97.35265,97.41822,97.48118,97.54163,97.59967,97.65539,97.70888,97.76023,97.80952,97.85684,97.90225,97.94584,97.98768,98.02783
BOMV_B2, 0.05923,0.06247,0.06589,0.06950,0.07331,0.07732,0.08156,0.08602,0.09074,0.09571,0.10095,0.10647,0.11230,0.11845,0.12494,0.13178,0.13899,0.14660,0.15462,0.16308,0.17201,0.18142,0.19135,0.20181,0.21285,0.22450,0.23677,0.24972,0.26337,0.27777,0.29295,0.30896,0.32585,0.34365,0.36242,0.38221,0.40308,0.42509,0.44829,0.47275,0.49854,0.52573,0.55439,0.58461,0.61646,0.65004,0.68544,0.72275,0.76208,0.80353,0.84721,0.89326,0.94178,0.99291,1.04679,1.10356,1.16337,1.22639,1.29278,1.36272,1.43639,1.51398,1.59570,1.68175,1.77237,1.86778,1.96823,2.07398,2.18528,2.30242,2.42569,2.55540,2.69186,2.83540,2.98637,3.14514,3.31207,3.48755,3.67199,3.86581,4.06945,4.28336,4.50801,4.74389,4.99149,5.25133,5.52395,5.80989,6.10972,6.42401,6.75336,7.09837,7.45966,7.83786,8.23361,8.64755,9.08034,9.53263,10.00508,10.49837,11.01313,11.55003,12.10972,12.69281,13.29994,13.93171,14.58867,15.27139,15.98038,16.71611,17.47902,18.26949,19.08787,19.93443,20.80937,21.71285,22.64494,23.60562,24.59480,25.61229,26.65783,27.73103,28.83142,29.95841,31.11134,32.28939,33.49168,34.71720,35.96482,37.23333,38.52142,39.82765,41.15053,42.48845,43.83973,45.20263,46.57533,47.95597,49.34263,50.73337,52.12622,53.51920,54.91032,56.29763,57.67916,59.05300,60.41729,61.77019,63.10994,64.43488,65.74337,67.03390,68.30505,69.55547,70.78393,71.98931,73.17059,74.32684,75.45726,76.56116,77.63793,78.68710,79.70827,80.70116,81.66557,82.60139,83.50860,84.38726,85.23751,86.05955,86.85365,87.62014,88.35939,89.07184,89.75796,90.41825,91.05327,91.66358,92.24978,92.81249,93.35232,93.86994,94.36599,94.84112,95.29601,95.73130,96.14767,96.54575,96.92620,97.28967,97.63677,97.96813,98.28435,98.58604,98.87376,99.14808,99.40956,99.65873,99.89610,100.12219
